"","Company","EPIC","FTSE.Industry.Classification.Benchmark.sector.13."
"1","3i","III","Financial Services"
"2","Admiral Group","ADM","Nonlife Insurance"
"3","Anglo American plc","AAL","Mining"
"4","Antofagasta","ANTO","Mining"
"5","Ashtead Group","AHT","Support Services"
"6","Associated British Foods","ABF","Food Producers"
"7","AstraZeneca","AZN","Pharmaceuticals & Biotechnology"
"8","Auto Trader Group","AUTO","Media"
"9","Avast","AVST","Software & Computer Services"
"10","Aveva","AVV","Software & Computer Services"
"11","Aviva","AV.","Life Insurance"
"12","B&M","BME","Retailers"
"13","BAE Systems","BA.","Aerospace & Defence"
"14","Barclays","BARC","Banks"
"15","Barratt Developments","BDEV","Household Goods & Home Construction"
"16","Berkeley Group Holdings","BKG","Household Goods & Home Construction"
"17","BHP","BHP","Mining"
"18","BP","BP.","Oil & Gas Producers"
"19","British American Tobacco","BATS","Tobacco"
"20","British Land","BLND","Real Estate Investment Trusts"
"21","BT Group","BT.A","Fixed Line Telecommunications"
"22","Bunzl","BNZL","Support Services"
"23","Burberry","BRBY","Personal Goods"
"24","Coca-Cola HBC","CCH","Beverages"
"25","Compass Group","CPG","Support Services"
"26","CRH plc","CRH","Construction & Materials"
"27","Croda International","CRDA","Chemicals"
"28","DCC plc","DCC","Support Services"
"29","Diageo","DGE","Beverages"
"30","Entain","ENT","Travel & Leisure"
"31","Evraz","EVR","Industrial Metals & Mining"
"32","Experian","EXPN","Support Services"
"33","Ferguson plc","FERG","Support Services"
"34","Flutter Entertainment","FLTR","Travel & Leisure"
"35","Fresnillo","FRES","Mining"
"36","GlaxoSmithKline","GSK","Pharmaceuticals & Biotechnology"
"37","Glencore","GLEN","Mining"
"38","Halma","HLMA","Electronic & Electrical Equipment"
"39","Hargreaves Lansdown","HL.","Financial Services"
"40","Hikma Pharmaceuticals","HIK","Pharmaceuticals & Biotechnology"
"41","HSBC","HSBA","Banks"
"42","IHG Hotels & Resorts","IHG","Travel & Leisure"
"43","Imperial Brands","IMB","Tobacco"
"44","Informa","INF","Media"
"45","Intermediate Capital Group","ICP","Investment Services"
"46","International Airlines Group","IAG","Travel & Leisure"
"47","Intertek","ITRK","Support Services"
"48","JD Sports","JD.","General Retailers"
"49","Johnson Matthey","JMAT","Chemicals"
"50","Just Eat Takeaway","JET","Software & Computer Services"
"51","Kingfisher","KGF","Retailers"
"52","Land Securities","LAND","Real Estate Investment Trusts"
"53","Legal & General","LGEN","Life Insurance"
"54","Lloyds Banking Group","LLOY","Banks"
"55","London Stock Exchange Group","LSEG","Financial Services"
"56","M&G","MNG","Asset Managers"
"57","Melrose Industries","MRO","Automobiles & Parts"
"58","Mondi","MNDI","Forestry & Paper"
"59","National Grid plc","NG.","Gas, Water & Multi-utilities"
"60","NatWest Group","NWG","Banks"
"61","Next plc","NXT","General Retailers"
"62","Ocado Group","OCDO","Food & Drug Retailers"
"63","Pearson plc","PSON","Media"
"64","Pershing Square Holdings","PSH","Financial Services"
"65","Persimmon plc","PSN","Household Goods & Home Construction"
"66","Phoenix Group","PHNX","Life Insurance"
"67","Polymetal International","POLY","Precious Metals & Mining"
"68","Prudential plc","PRU","Life Insurance"
"69","Reckitt","RB.","Household Goods & Home Construction"
"70","RELX","REL","Media"
"71","Renishaw","RSW","Industrial Goods and Services"
"72","Rentokil Initial","RTO","Support Services"
"73","Rightmove","RMV","Media"
"74","Rio Tinto","RIO","Mining"
"75","Rolls-Royce Holdings","RR.","Aerospace & Defence"
"76","Royal Dutch Shell","RDSA","Oil & Gas Producers"
"77","RSA Insurance Group","RSA","Nonlife Insurance"
"78","Sage Group","SGE","Software & Computer Services"
"79","Sainsbury's","SBRY","Food & Drug Retailers"
"80","Schroders","SDR","Financial Services"
"81","Scottish Mortgage Investment Trust","SMT","Equity Investment Instruments"
"82","Segro","SGRO","Real Estate Investment Trusts"
"83","Severn Trent","SVT","Gas, Water & Multi-utilities"
"84","DS Smith","SMDS","General Industrials"
"85","Smiths Group","SMIN","General Industrials"
"86","Smith & Nephew","SN.","Health Care Equipment & Services"
"87","Smurfit Kappa","SKG","General Industrials"
"88","Spirax-Sarco Engineering","SPX","Industrial Engineering"
"89","SSE plc","SSE","Electricity"
"90","Standard Chartered","STAN","Banks"
"91","Standard Life Aberdeen","SLA","Financial Services"
"92","St. James's Place plc","STJ","Life Insurance"
"93","Taylor Wimpey","TW.","Household Goods & Home Construction"
"94","Tesco","TSCO","Food & Drug Retailers"
"95","Unilever","ULVR","Personal Goods"
"96","United Utilities","UU.","Gas, Water & Multi-utilities"
"97","Vodafone Group","VOD","Mobile Telecommunications"
"98","Weir Group","WEIR","Industrial Goods and Services"
"99","Whitbread","WTB","Retail hospitality"
"100","WPP plc","WPP","Media"
